id,x CM,y CM,z CM,distance,flags?
B05-206,-2.487565,-25.788502,18.35075,31.748776993700545,!off center
B05-207,-1.260546,-30.419163,-20.343297,36.616446942171955,!off center
B05-209,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B05-214,-7.094937,-31.08594,17.557795,36.39986211484315,!off center
B05-224,-5.191489,-34.77137,13.843198,37.78404240656662,!off center
B05-228,8.075581,-30.640268,9.089288,32.96446856763095,!off center
B05-234,-2.499834,-30.325474,11.161187,32.41073338573506,!off center
B05-236,-6.435004,-31.843527,-12.432718,34.78493876877275,!off center
B06-209,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B06-256,0.240093,-26.633047,-11.352567,28.95267888542176,!off center
B07-209,-1.709065,-24.857532,-9.416348,26.63616732869714,!off center
B07-212,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B07-231,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B07-232,-1.854267,-28.228052,-5.44854,28.80881486548159,!off center
B07-233,2.253298,-21.479984,19.198555,28.89725901543406,!off center
B07-248,-3.139515,-27.484367,-5.09021,28.12751716149177,!off center
B07-270,-1.822606,-32.154955,18.608873,37.196144665991795,!off center
B07-287,1.148363,-14.579411,18.924568,23.91688183424658,!off center
B07-288,3.141246,-13.961576,1.852784,14.430032549753587,
B07-294,-8.334758,-34.157075,-13.051165,37.50342479469593,!off center
B08-209,-1.029935,-28.673399,-6.971948,29.526812141376354,!off center
B08-211,-3.072589,-25.565634,32.921229,41.79533184286635,!off center
B08-213,-3.036779,-27.650486,10.492458,29.729834806349007,!off center
B08-217,-6.451639,-33.515966,-8.63347,35.2062555086504,!off center
B08-234,0.42836,-29.425302,9.095027,30.801808489300313,!off center
B08-245,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B08-246,-1.556506,-22.771583,17.337352,28.662719299219134,!off center
B08-248,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B08-249,-4.469536,-37.290008,-19.782458,42.448405072712966,!off center
B08-255,0.357586,-6.862237,42.604899,43.155481496465384,!off center
B08-258,-0.590887,-27.00329,30.932827,41.065394244823686,!off center
B08-261,1.650091,-14.864235,16.360612,22.16614326981692,!off center
B08-266,2.590367,-19.907148,24.460551,31.64368970130054,!off center
B08-268,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B09-204,5.714093,-33.971144,-6.808624,35.11476675495312,!off center
B09-205,n/a,n/a,n/a,n/a,!rad_nu_mri.nii not found
B09-245,-5.299331,4.338834,2.205758,7.195398382416431,
B09-267,1.133907,-7.485471,2.820512,8.079189880095281,
B09-286,0.680617,-18.08793,34.056953,38.5682835867737,!off center
B10-209,1.797964,-14.203801,25.461572,29.210824810403437,!off center
B10-233,1.168444,-14.34865,26.296762,29.979471474465324,!off center
B10-251,-0.358838,-28.205296,8.035348,29.329751186107323,!off center
B11-245,0.742027,-20.532218,26.317287,33.38745535539691,!off center
B11-278,-1.911489,2.77156,16.515591,16.85526864544146,
B11-282,0.458976,-14.930642,26.274353,30.223771357481997,!off center
B12-213,0.529911,-21.780296,37.108246,43.03119822538123,!off center
B12-217,-0.990946,-19.569033,41.568981,45.95551335703221,!off center
B12-264,-1.350765,4.743027,26.858659,27.307662559915943,!off center
